Date,Price_Maize,Price_Millet,Price_Sorghum,Exchange_Rate,NDVI_Anomaly,NDMI_Anomaly,Rainfall_Anomaly,Price_Maize_Lag1,Price_Maize_Lag2,Price_Sorghum_Lag1,Price_Sorghum_Lag2,Price_Millet_Lag1,Price_Millet_Lag2,NDVI_Anomaly_Lag1,NDVI_Anomaly_Lag2,NDMI_Anomaly_Lag1,NDMI_Anomaly_Lag2,Rainfall_Anomaly_Lag1,Rainfall_Anomaly_Lag2,Exchange_Rate_Lag1,Exchange_Rate_Lag2
2017-03-01,13720.0,15560.0,13040.0,311.5264797507788,-0.0773071150944713,-0.15934613590559976,-0.04738668080213877,14650.0,13900.0,14200.0,13200.0,14650.0,14150.0,-0.46071019922581063,0.017347320428744248,0.24468110179959265,-0.46373266225432275,-0.6604165292853847,0.12388225397423779,311.5264797507788,311.5264797507788
2017-04-01,18000.0,15600.0,14600.0,311.5264797507788,-0.003593392958810347,0.08088832192382694,-0.38923686338508906,13720.0,14650.0,13040.0,14200.0,15560.0,14650.0,-0.0773071150944713,-0.46071019922581063,-0.15934613590559976,0.24468110179959265,-0.04738668080213877,-0.6604165292853847,311.5264797507788,311.5264797507788
2017-05-01,14560.0,15800.0,14480.0,313.4796238244514,0.033185292413454984,0.024642787646398778,-0.38069679265518397,18000.0,13720.0,14600.0,13040.0,15600.0,15560.0,-0.003593392958810347,-0.0773071150944713,0.08088832192382694,-0.15934613590559976,-0.38923686338508906,-0.04738668080213877,311.5264797507788,311.5264797507788
2017-06-01,15500.0,15875.0,13900.0,315.45741324921136,-0.022218716996043112,0.2532489950018481,0.17612795391579433,14560.0,18000.0,14480.0,14600.0,15800.0,15600.0,0.033185292413454984,-0.003593392958810347,0.024642787646398778,0.08088832192382694,-0.38069679265518397,-0.38923686338508906,313.4796238244514,311.5264797507788
2017-07-01,13650.0,14900.0,14950.0,321.54340836012864,0.020394192539270287,0.05546798778730886,-1.2920969913861047,15500.0,14560.0,13900.0,14480.0,15875.0,15800.0,-0.022218716996043112,0.033185292413454984,0.2532489950018481,0.024642787646398778,0.17612795391579433,-0.38069679265518397,315.45741324921136,313.4796238244514
2017-08-01,12825.0,13950.0,15050.0,338.70764724056255,-0.0035987547338503373,0.005294503491952991,-1.2670710444890525,13650.0,15500.0,14950.0,13900.0,14900.0,15875.0,0.020394192539270287,-0.022218716996043112,0.05546798778730886,0.2532489950018481,-1.2920969913861047,0.17612795391579433,321.54340836012864,315.45741324921136
2017-09-01,12000.0,13000.0,15150.0,355.87188612099646,-0.027591702006970965,-0.04487898080340288,-1.2420450975920003,12825.0,13650.0,15050.0,14950.0,13950.0,14900.0,-0.0035987547338503373,0.020394192539270287,0.005294503491952991,0.05546798778730886,-1.2670710444890525,-1.2920969913861047,338.70764724056255,321.54340836012864
2017-10-01,9050.0,9750.0,15700.0,357.14285714285717,-1.0443836941738445,-0.9418099987701747,-1.298276995580718,12000.0,12825.0,15150.0,15050.0,13000.0,13950.0,-0.027591702006970965,-0.0035987547338503373,-0.04487898080340288,0.005294503491952991,-1.2420450975920003,-1.2670710444890525,355.87188612099646,338.70764724056255
2017-11-01,8640.0,12080.0,11840.0,357.14285714285717,-0.23373641497238928,0.30814595968968034,-0.6500055783135891,9050.0,12000.0,15700.0,15150.0,9750.0,13000.0,-1.0443836941738445,-0.027591702006970965,-0.9418099987701747,-0.04487898080340288,-1.298276995580718,-1.2420450975920003,357.14285714285717,355.87188612099646
2017-12-01,8100.0,11900.0,9500.0,355.87188612099646,-0.03339683539757746,0.213049531046986,1.2696431729931912,8640.0,9050.0,11840.0,15700.0,12080.0,9750.0,-0.23373641497238928,-1.0443836941738445,0.30814595968968034,-0.9418099987701747,-0.6500055783135891,-1.298276995580718,357.14285714285717,357.14285714285717
2018-01-01,9870.0,12822.0,9460.0,357.14285714285717,-0.08894971207385984,1.0382511333295295,0.23489257299192773,8100.0,8640.0,9500.0,11840.0,11900.0,12080.0,-0.03339683539757746,-0.23373641497238928,0.213049531046986,0.30814595968968034,1.2696431729931912,-0.6500055783135891,355.87188612099646,357.14285714285717
2018-02-01,10200.0,13250.0,9950.0,358.4229390681004,0.8555706405978765,0.0013875937507869822,-0.02478268922033799,9870.0,8100.0,9460.0,9500.0,12822.0,11900.0,-0.08894971207385984,-0.03339683539757746,1.0382511333295295,0.213049531046986,0.23489257299192773,1.2696431729931912,357.14285714285717,355.87188612099646
2018-03-01,10700.0,13350.0,10350.0,357.14285714285717,0.0621630402010364,0.01692150787362257,0.1108972129356365,10200.0,9870.0,9950.0,9460.0,13250.0,12822.0,0.8555706405978765,-0.08894971207385984,0.0013875937507869822,1.0382511333295295,-0.02478268922033799,0.23489257299192773,358.4229390681004,357.14285714285717
2018-04-01,11475.0,13750.0,11000.0,358.4229390681004,0.0450338325740498,0.07424685328375208,0.5043638284360601,10700.0,10200.0,10350.0,9950.0,13350.0,13250.0,0.0621630402010364,0.8555706405978765,0.01692150787362257,0.0013875937507869822,0.1108972129356365,-0.02478268922033799,357.14285714285717,358.4229390681004
